Комедия	комедия+N+Sg+Nom;
1	Num
пәрдәдә	пәрдә+N+Sg+LOC(ДА);
КАТНАШАЛАР	катнаш+V+PRES(Й)+3PL(ЛАр);
:	Type2
Хәмзә	хәмзә+PROP+Sg+Nom;
бай	бай+N+Sg+Nom;
—	Type2
иске	NR;иске+Adj;иске+PROP+Sg+Nom;
фикерле	фикер+N+ATTR_MUN(лЫ);
Казан	казан+N+Sg+Nom;казан+PROP+Sg+Nom;казан+V+IMP_SG();
бае	бае+V+IMP_SG();бай+N+Sg+POSS_3(СЫ)+Nom;
;	Type2
башында	баш+N+Sg+POSS_3(СЫ)+LOC(ДА);
ак	ак+Adj;ак+V+IMP_SG();
бүрек	бүрек+N+Sg+Nom;
,	Type2
яшел	яшел+Adj;яшел+PROP+Sg+Nom;
кәләпүш	кәләпүш+N+Sg+Nom;
,	Type2
өстендә	өс+N+Sg+POSS_3(СЫ)+LOC(ДА);өстен+Adj+Sg+LOC(ДА);өстендә+POST;
намаз	намаз+N+Sg+Nom;
туны	тун+N+Sg+POSS_3(СЫ)+Nom;
,	Type2
аның	ул+PN+GEN(нЫң);
эченнән	эч+N+Sg+POSS_3(СЫ)+ABL(ДАн);эченнән+POST;
бишмәт	бишмәт+N+Sg+Nom;
,	Type2
аның	ул+PN+GEN(нЫң);
эченнән	эч+N+Sg+POSS_3(СЫ)+ABL(ДАн);эченнән+POST;
кыска	кыска+Adj;кыска+Adv;
җиңле	җиң+N+ATTR_MUN(лЫ);
камзул	камзул+N+Sg+Nom;
кигән	ки+V+PCP_PS(ГАн);ки+V+PST_INDF(ГАн);
,	Type2
чалбар	чалбар+N+Sg+Nom;
балагын	балак+N+Sg+POSS_3(СЫ)+ACC(нЫ);
ак	ак+Adj;ак+V+IMP_SG();
тасма	тасма+N+Sg+Nom;
белән	белән+POST;
бәйләгән	бәйлә+V+PCP_PS(ГАн);бәйлә+V+PST_INDF(ГАн);
.	Type1
Гафифә	NR
—	Type2
Хәмзә	хәмзә+PROP+Sg+Nom;
байның	бай+N+Sg+GEN(нЫң);
кызы	кыз+N+Sg+POSS_3(СЫ)+Nom;
.	Type1
Вәли	вәли+PROP+Sg+Nom;
—	Type2
Хәмзә	хәмзә+PROP+Sg+Nom;
байның	бай+N+Sg+GEN(нЫң);
кияве	кияү+N+Sg+POSS_3(СЫ)+Nom;
.	Type1
Хәбибрахман	NR
—	Type2
Хәмзә	хәмзә+PROP+Sg+Nom;
байның	бай+N+Sg+GEN(нЫң);
улы	ул+N+Sg+POSS_3(СЫ)+Nom;
,	Type2
аңгыра	аңгыра+Adj;аңгыра+N+Sg+Nom;
.	Type1
Факиһә	NR
—	Type2
Хәбибрахманның	NR
хатыны	хатын+N+Sg+POSS_3(СЫ)+Nom;
.	Type1
Биби	NR
—	Type2
Хәмзә	хәмзә+PROP+Sg+Nom;
байның	бай+N+Sg+GEN(нЫң);
асравы	асра+V+VN_1(у/ү/в)+POSS_3(СЫ)+Nom;
,	Type2
аңгыра	аңгыра+Adj;аңгыра+N+Sg+Nom;
кыз	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Фатих	фатих+PROP+Sg+Nom;
—	Type2
Хәмзә	хәмзә+PROP+Sg+Nom;
байның	бай+N+Sg+GEN(нЫң);
кибетчесе	NR
.	Type1
Вакыйга	вакыйга+N+Sg+Nom;
Казанда	казан+N+Sg+LOC(ДА);казан+PROP+LOC(ДА);
,	Type2
Хәмзә	хәмзә+PROP+Sg+Nom;
байның	бай+N+Sg+GEN(нЫң);
өендә	өй+N+Sg+POSS_3(СЫ)+LOC(ДА);
.	Type1
Бай	бай+N+Sg+Nom;
сымак	сымак+POST;
бер	бер+Num;бер+PN;
өй	өй+N+Sg+Nom;өй+V+IMP_SG();
.	Type1
Ике	ике+Num;
якта	як+N+Sg+LOC(ДА);як+V+CAUS(т)+PRES(Й);
икешәр	ике+Num+NUM_DISR(шАр);
ишек	ишек+N+Sg+Nom;
.	Type1
Түрдә	түр+N+Sg+LOC(ДА);
тәрәзәләр	тәрәзә+N+PL(ЛАр)+Nom;
,	Type2
тәрәзә	тәрәзә+N+Sg+Nom;
арасында	ара+N+Sg+POSS_3(СЫ)+LOC(ДА);арасында+POST;
көзге	көзге+Adj;көзге+N+Sg+Nom;
.	Type1
Стена	стена+N+Sg+Nom;
буенда	буенда+POST;
урындыклар	урындык+N+PL(ЛАр)+Nom;
.	Type1
Сул	сул+Adj;
тарафта	тараф+N+Sg+LOC(ДА);
бер	бер+Num;бер+PN;
диван	диван+N+Sg+Nom;
.	Type1
Аның	ул+PN+GEN(нЫң);
алдында	ал+N+Sg+POSS_3(СЫ)+LOC(ДА);алдында+POST;
өстәл	өстә+V+PASS(Ыл)+IMP_SG();өстәл+N+Sg+Nom;өстәл+V+IMP_SG();
.	Type1
Пәрдә	пәрдә+N+Sg+Nom;
ачылганда	ач+V+PASS(Ыл)+PCP_PS(ГАн)+LOC(ДА);ачыл+V+PCP_PS(ГАн)+LOC(ДА);
,	Type2
сәхнәдә	сәхнә+N+Sg+LOC(ДА);
Вәли	вәли+PROP+Sg+Nom;
күренә	күр+V+REFL(Ын)+PRES(Й);күрен+V+PRES(Й);
;	Type2
өстенә	өс+N+Sg+POSS_3(СЫ)+DIR(ГА);өстенә+POST;
пальтосын	пальто+N+Sg+POSS_3(СЫ)+ACC(нЫ);
кигән	ки+V+PCP_PS(ГАн);ки+V+PST_INDF(ГАн);
,	Type2
кулына	кул+N+Sg+POSS_3(СЫ)+DIR(ГА);
таяк	тай+V+HOR_PL(Йк);таяк+N+Sg+Nom;
тоткан	тот+V+PCP_PS(ГАн);тот+V+PST_INDF(ГАн);
,	Type2
күңеле	күңел+N+Sg+POSS_3(СЫ)+Nom;
бик	бик+Adv;
шат	шат+Adj;
,	Type2
өйнең	өй+N+Sg+GEN(нЫң);
бер	бер+Num;бер+PN;
башыннан	баш+N+Sg+POSS_3(СЫ)+ABL(ДАн);
бер	бер+Num;бер+PN;
башына	баш+N+Sg+POSS_3(СЫ)+DIR(ГА);
кызу-кызу	кызу-кызу+Adv;
атлап	NR;ат+N+DISTR(лАп);атла+V+ADVV_ACC(Ып);
йөри	йөр+V+PRES(Й);
.	Type1
Вәли	вәли+PROP+Sg+Nom;
(	Type3
кычкырып	кычкыр+V+ADVV_ACC(Ып);
)	Type3
.	Type1
Гафифә	NR
!	Type1
Гафифә	NR
!	Type1
Гафифә	NR
(	Type3
бүлмәдән	бүлмә+N+Sg+ABL(ДАн);
сузыбрак	суз+V+ADVV_ACC(Ып)+COMP(рАк)+Sg+Nom;
)	Type3
.	Type1
әү	әү+INTRJ;
!	Type1
Вәли	вәли+PROP+Sg+Nom;
.	Type1
Буласыңмы	бул+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom+INT(мЫ);бул+V+PRES(Й)+2SG(сЫң)+INT(мЫ);
инде	инде+MOD;инде+PART;
?	Type1
Гафифә	NR
.	Type1
Хәзер	хәзер+Adv;
булам	бул+V+PRES(Й)+1SG(м);
.	Type1
Вәли	вәли+PROP+Sg+Nom;
.	Type1
Тизрәк	тиз+Adj+COMP(рАк)+Sg+Nom;тиз+Adv+COMP(рАк)+Sg+Nom;
бул	бул+V+IMP_SG();
!	Type1
(	Type3
Халыкка	халык+N+Sg+DIR(ГА);
таба	таба+N+Sg+Nom;таба+POST;тап+V+PRES(Й);
карап	кара+V+ADVV_ACC(Ып);
.	Type1
)	Type3
Гафифә	NR
дисәң	ди+V+COND(сА)+2SG(ң);
Гафифә	NR
:	Type2
бер	бер+Num;бер+PN;
җиргә	җир+N+Sg+DIR(ГА);
бара	бар+V+PRES(Й);
башладың	башла+V+PST_DEF(ДЫ)+2SG(ң);
исә	и+V+COND(сА);ис+V+PRES(Й);исә+CNJ;
,	Type2
кеше	кеше+N+Sg+Nom;
күрә	күр+V+PRES(Й);күрә+POST;
дип	ди+V+ADVV_ACC(Ып);дип+CNJ;
коты	кот+N+Sg+POSS_3(СЫ)+Nom;
чыга	чык+V+PRES(Й);
.	Type1
Аның	ул+PN+GEN(нЫң);
каршында	каршында+Adj;каршында+POST;
ир	ир+N+Sg+Nom;
кеше	кеше+N+Sg+Nom;
дигән	ди+V+PCP_PS(ГАн);ди+V+PST_INDF(ГАн);
сүз	сүз+N+Sg+Nom;
ерткыч	ерткыч+N+Sg+Nom;
җанвар	җанвар+N+Sg+Nom;
дигән	ди+V+PCP_PS(ГАн);ди+V+PST_INDF(ГАн);
сүз	сүз+N+Sg+Nom;
белән	белән+POST;
икесе	ике+Num+POSS_3(СЫ)+Nom;
бертигез	бертигез+Adj;
.	Type1
Бары	бар+N+Sg+POSS_3(СЫ)+Nom;бар+PN+POSS_3(СЫ)+Nom;бары+CNJ;бары+PN;
мин	мин+PN;
генә	генә+PART;
ул	ул+N+Sg+Nom;ул+PN;
кадәр	кадәр+Adv;кадәр+POST;
куркынычлы	куркыныч+Adj+Sg+ATTR_MUN(лЫ);
җанвар	җанвар+N+Sg+Nom;
түгел	түгел+PART;
.	Type1
Башта	баш+N+Sg+LOC(ДА);
миннән	NR;мин+PN+ABL(ДАн);
дә	дә+PART;
коты	кот+N+Sg+POSS_3(СЫ)+Nom;
очты	оч+V+PST_DEF(ДЫ);
.	Type1
Кияү	кияү+N+Sg+Nom;
булып	бул+V+ADVV_ACC(Ып);
кергәч	кер+V+ADVV_ANT(ГАч);
,	Type2
куркуыннан	курк+V+VN_1(у/ү/в)+POSS_3(СЫ)+ABL(ДАн);курку+N+Sg+POSS_3(СЫ)+ABL(ДАн);
,	Type2
куян	куян+N+Sg+Nom;
шикелле	шикелле+POST;
,	Type2
бер	бер+Num;бер+PN;
почмакка	почмак+N+Sg+DIR(ГА);
посып	пос+V+ADVV_ACC(Ып);
тик	тик+CNJ;
тора	тор+V+PRES(Й);
.	Type1
Соңыннан	соң+N+Sg+POSS_3(СЫ)+ABL(ДАн);соңыннан+Adv;
,	Type2
минем	мин+PN+GEN(нЫң);
тарафтан	тараф+N+Sg+ABL(ДАн);
шул	шул+PART;шул+PN;
яшенә	яшь+Adj+Sg+POSS_3(СЫ)+DIR(ГА);яшь+N+Sg+POSS_3(СЫ)+DIR(ГА);
җиткәнгә	җит+V+PCP_PS(ГАн)+DIR(ГА);җиткән+Adj+Sg+DIR(ГА);
кадәр	кадәр+Adv;кадәр+POST;
ата-анасыннан	ата-ана+N+Sg+POSS_3(СЫ)+ABL(ДАн);
да	да+PART;
ишетмәгән	ишет+V+NEG(мА)+PCP_PS(ГАн);ишет+V+NEG(мА)+PST_INDF(ГАн);
тәмле	тәм+N+ATTR_MUN(лЫ);тәмле+Adj;
,	Type2
татлы	NR;тат+N+ATTR_MUN(лЫ);татлы+Adj;
сүзләрне	сүз+N+PL(ЛАр)+ACC(нЫ);
ишеткәч	ишет+V+ADVV_ANT(ГАч);
кенә	кенә+PART;
,	Type2
бераз	бераз+Adv;
җайланды	җайла+V+REFL(Ын)+PST_DEF(ДЫ);җайлан+V+PST_DEF(ДЫ);
.	Type1
(	Type3
Ян	ян+N+Sg+Nom;ян+V+IMP_SG();
ишеккә	ишек+N+Sg+DIR(ГА);
барып	бар+V+ADVV_ACC(Ып);
,	Type2
ишеккә	ишек+N+Sg+DIR(ГА);
башын	баш+N+Sg+POSS_3(СЫ)+ACC(нЫ);
тыгып	тык+V+ADVV_ACC(Ып);
.	Type1
)	Type3
һи	һи+INTRJ;
!	Type1
әле	әле+CNJ;әле+PART;
тиз	тиз+Adj;тиз+Adv;
генә	генә+PART;
буласың	бул+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;бул+V+PRES(Й)+2SG(сЫң);
юк	юк+MOD;
икән	икән+MOD;икән+PART;
.	Type1
Зинһар	зинһар+MOD;
,	Type2
тизрәк	тиз+Adj+COMP(рАк)+Sg+Nom;тиз+Adv+COMP(рАк)+Sg+Nom;
була	бул+V+PRES(Й);була+MOD;
күр	күр+V+IMP_SG();
!	Type1
әгәр	әгәр+CNJ;
каенатай	NR
кайтып	кайт+V+ADVV_ACC(Ып);
керсә	кер+V+COND(сА);
,	Type2
аннан	аннан+PN;ул+PN+ABL(ДАн);
ары	ар+N+Sg+POSS_3(СЫ)+Nom;ары+Adj;ары+V+IMP_SG();
харап	харап+Adj;
эш	эш+N+Sg+Nom;
.	Type1
Ничек	ничек+PN;
итсә	и+V+CAUS(т)+COND(сА);ит+V+COND(сА);
итәр	и+V+CAUS(т)+PCP_FUT(Ыр);ит+V+PCP_FUT(Ыр);
,	Type2
гомердә	гомер+N+Sg+LOC(ДА);
театрга	театр+N+Sg+DIR(ГА);
җибәрмәс	җибәр+V+FUT_INDF_NEG(мАс);җибәр+V+PCP_FUT(мАс);
.	Type1
(	Type3
Башын	баш+N+Sg+POSS_3(СЫ)+ACC(нЫ);
бүлмә	бүл+V+NEG(мА)+IMP_SG();бүлмә+N+Sg+Nom;
ишегеннән	ишек+N+Sg+POSS_3(СЫ)+ABL(ДАн);
алып	ал+V+ADVV_ACC(Ып);алып+N+Sg+Nom;
,	Type2
халыкка	халык+N+Sg+DIR(ГА);
таба	таба+N+Sg+Nom;таба+POST;тап+V+PRES(Й);
карап	кара+V+ADVV_ACC(Ып);
,	Type2
куллары	кул+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
белән	белән+POST;
хатын-кыз	хатын-кыз+N+Sg+Nom;
битенә	бит+N+Sg+POSS_3(СЫ)+DIR(ГА);
пудра	пудра+N+Sg+Nom;
сөрткән	сөр+V+CAUS(т)+PCP_PS(ГАн);сөр+V+CAUS(т)+PST_INDF(ГАн);сөрт+V+PCP_PS(ГАн);сөрт+V+PST_INDF(ГАн);
төсле	төс+N+ATTR_MUN(лЫ);төсле+Adj;төсле+POST;
итеп	ит+V+ADVV_ACC(Ып);
күрсәтеп	күрсәт+V+ADVV_ACC(Ып);
,	Type2
бераз	бераз+Adv;
көлебрәк	көл+V+ADVV_ACC(Ып)+COMP(рАк)+Sg+Nom;
.	Type1
)	Type3
Бизәнә	бизә+V+REFL(Ын)+PRES(Й);бизән+V+PRES(Й);
:	Type2
мич	мич+N+Sg+Nom;
акшарлаган	акшарла+V+PCP_PS(ГАн);акшарла+V+PST_INDF(ГАн);
шикелле	шикелле+POST;
итеп	ит+V+ADVV_ACC(Ып);
,	Type2
битләрен	бит+N+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);
буяп	буя+V+ADVV_ACC(Ып);
маташа	маташ+V+PRES(Й);
.	Type1
Шулай	шулай+PN;
да	да+PART;
булса	бул+V+COND(сА);
,	Type2
үзенә	үз+PN+POSS_3(СЫ)+DIR(ГА);
килешеп	кил+V+RECP(Ыш)+ADVV_ACC(Ып);килеш+V+ADVV_ACC(Ып);
тора	тор+V+PRES(Й);
тагын	тагын+Adv;
.	Type1
Уйлап	уйла+V+ADVV_ACC(Ып);
карагыз	кара+Adj+Sg+POSS_2PL(ЫгЫз)+Nom;кара+N+Sg+POSS_2PL(ЫгЫз)+Nom;кара+V+IMP_PL(ЫгЫз);
,	Type2
әгәр	әгәр+CNJ;
мин	мин+PN;
шулай	шулай+PN;
итеп	ит+V+ADVV_ACC(Ып);
битләремне	бит+N+PL(ЛАр)+POSS_1SG(Ым)+ACC(нЫ);
буйый	буя+V+PRES(Й);
торган	тор+V+PCP_PS(ГАн);тор+V+PST_INDF(ГАн);
булсам	бул+V+COND(сА)+1SG(м);
,	Type2
һич	һич+PN;
килешмәс	кил+V+RECP(Ыш)+FUT_INDF_NEG(мАс);кил+V+RECP(Ыш)+PCP_FUT(мАс);килеш+V+FUT_INDF_NEG(мАс);килеш+V+PCP_FUT(мАс);
иде	и+V+PST_DEF(ДЫ);иде+MOD;
бит	бит+N+Sg+Nom;бит+PART;
!	Type1
Онга	он+N+Sg+DIR(ГА);
төшкән	төш+V+PCP_PS(ГАн);төш+V+PST_INDF(ГАн);
таракан	таракан+N+Sg+Nom;
төсле	төс+N+ATTR_MUN(лЫ);төсле+Adj;төсле+POST;
булыр	бул+V+FUT_INDF(Ыр);бул+V+PCP_FUT(Ыр);
идем	и+V+PST_DEF(ДЫ)+1SG(м);
.	Type1
Безнең	без+N+Sg+GEN(нЫң);без+PN+GEN(нЫң);
бер	бер+Num;бер+PN;
асрау	асра+V+VN_1(у/ү/в)+Nom;
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
,	Type2
йөзе	йөз+N+Sg+POSS_3(СЫ)+Nom;йөз+Num+POSS_3(СЫ)+Nom;
менә	мен+V+PRES(Й);менә+PART;
нәкъ	нәкъ+PART;
чуенның	чуен+N+Sg+GEN(нЫң);
ундүртенче	NR;ундүрт+Num+NUM_ORD(ЫнчЫ);
кичәсе	кич+V+OBL(ЙсЫ);кичә+N+Sg+POSS_3(СЫ)+Nom;
төсле	төс+N+ATTR_MUN(лЫ);төсле+Adj;төсле+POST;
кап-кара	ап-кара+Adj;кап-кара+Adj;
.	Type1
Беркөнне	беркөнне+Adv;
шул	шул+PART;шул+PN;
асрау	асра+V+VN_1(у/ү/в)+Nom;
,	Type2
абысталары	абыста+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
өйдә	өй+N+Sg+LOC(ДА);
юк	юк+MOD;
чагында	чагында+POST;чак+N+Sg+POSS_3(СЫ)+LOC(ДА);
,	Type2
барган	бар+V+PCP_PS(ГАн);бар+V+PST_INDF(ГАн);
да	да+PART;
минем	мин+PN+GEN(нЫң);
Гафифәнең	NR
пудырларын	NR
алып	ал+V+ADVV_ACC(Ып);алып+N+Sg+Nom;
ягынган	ягын+V+PCP_PS(ГАн);ягын+V+PST_INDF(ГАн);як+V+REFL(Ын)+PCP_PS(ГАн);як+V+REFL(Ын)+PST_INDF(ГАн);
;	Type2
бөтенләй	бөтенләй+Adv;
менә	мен+V+PRES(Й);менә+PART;
,	Type2
бигайниһиБигайниһи	NR
—	Type2
нәкъ	нәкъ+PART;
үзе	үзе+PN;
.	Type1
,	Type2
бер	бер+Num;бер+PN;
ком	ком+N+Sg+Nom;
гарәбенең	гарәп+N+Sg+POSS_3(СЫ)+GEN(нЫң);
битен	бит+N+Sg+POSS_3(СЫ)+ACC(нЫ);
акбурга	акбур+N+Sg+DIR(ГА);
буяган	буя+V+PCP_PS(ГАн);буя+V+PST_INDF(ГАн);
төсле	төс+N+ATTR_MUN(лЫ);төсле+Adj;төсле+POST;
булган	бул+V+PCP_PS(ГАн);бул+V+PST_INDF(ГАн);
.	Type1
Көлешә-көлешә	NR
алҗып	алҗы+V+ADVV_ACC(Ып);
беттек	NR;бет+V+PST_DEF(ДЫ)+1PL(к);
.	Type1
(	Type3
Бик	бик+Adv;
җитди	җитди+Adj;
.	Type1
)	Type3
Беләсезме	бел+V+PRES(Й)+2PL(сЫз)+INT(мЫ);
?	Type1
Ул	ул+N+Sg+Nom;ул+PN;
бит	бит+N+Sg+Nom;бит+PART;
пудыр	NR
күп	күп+Adj;
кешегә	кеше+N+Sg+DIR(ГА);
килешми	кил+V+RECP(Ыш)+NEG(мА)+PRES(Й);килеш+V+NEG(мА)+PRES(Й);
,	Type2
хосусәнХосусән	NR
—	Type2
бигрәк	NR;бигрәк+Adv;
тә	тә+PART;
.	Type1
ирләргә	ир+N+PL(ЛАр)+DIR(ГА);
бер	бер+Num;бер+PN;
дә	дә+PART;
килешми	кил+V+RECP(Ыш)+NEG(мА)+PRES(Й);килеш+V+NEG(мА)+PRES(Й);
.	Type1
ә	ә+INTRJ;ә+PART;
менә	мен+V+PRES(Й);менә+PART;
минем	мин+PN+GEN(нЫң);
бер	бер+Num;бер+PN;
таныш	таны+V+RECP(Ыш)+IMP_SG();таны+V+VN_2(Ыш)+Nom;таныш+Adj;таныш+V+IMP_SG();
егетем	егет+N+Sg+POSS_1SG(Ым)+Nom;
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
—	Type2
әхмәтҗан	әхмәтҗан+PROP+Sg+Nom;
,	Type2
ул	ул+N+Sg+Nom;ул+PN;
һәр	һәр+PN;
көнне	көн+N+Sg+ACC(нЫ);
өчәр	өч+Num+NUM_DISR(шАр);
мәртәбә	мәртәбә+N+Sg+Nom;
сакалларын	сакал+N+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);
китәреп	китәр+V+ADVV_ACC(Ып);
,	Type2
пудырлар	NR
сөртеп	сөр+V+CAUS(т)+ADVV_ACC(Ып);сөрт+V+ADVV_ACC(Ып);
йөри	йөр+V+PRES(Й);
.	Type1
Аңа	ул+PN+DIR(ГА);
килешә	кил+V+RECP(Ыш)+PRES(Й);килеш+V+PRES(Й);
.	Type1
Миңа	мин+PN+DIR(ГА);
бер	бер+Num;бер+PN;
дә	дә+PART;
килешми	кил+V+RECP(Ыш)+NEG(мА)+PRES(Й);килеш+V+NEG(мА)+PRES(Й);
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
шул	шул+PART;шул+PN;
инде	инде+MOD;инде+PART;
аксөяк	аксөяк+N+Sg+Nom;
нәселдән	нәсел+N+Sg+ABL(ДАн);
яратылган	яра+V+CAUS(т)+PASS(Ыл)+PCP_PS(ГАн);яра+V+CAUS(т)+PASS(Ыл)+PST_INDF(ГАн);ярат+V+PASS(Ыл)+PCP_PS(ГАн);ярат+V+PASS(Ыл)+PST_INDF(ГАн);яратыл+V+PCP_PS(ГАн);яратыл+V+PST_INDF(ГАн);
.	Type1
ә	ә+INTRJ;ә+PART;
безнең	без+N+Sg+GEN(нЫң);без+PN+GEN(нЫң);
нәрсә	нәрсә+PN;
,	Type2
без	без+N+Sg+Nom;без+PN;
бит	бит+N+Sg+Nom;бит+PART;
мужик	мужик+N+Sg+Nom;
!	Type1
Безнең	без+N+Sg+GEN(нЫң);без+PN+GEN(нЫң);
бабай	бабай+N+Sg+Nom;
сука	сука+N+Sg+Nom;
сукалап	сука+N+DISTR(лАп);сукала+V+ADVV_ACC(Ып);
үскән	үс+V+PCP_PS(ГАн);үс+V+PST_INDF(ГАн);
.	Type1
әти	әти+N+Sg+Nom;
,	Type2
чабата	чабата+N+Sg+Nom;
киеп	ки+V+ADVV_ACC(Ып);
,	Type2
12	Num
яшендә	яшен+N+Sg+LOC(ДА);яшь+Adj+Sg+POSS_3(СЫ)+LOC(ДА);яшь+N+Sg+POSS_3(СЫ)+LOC(ДА);
калага	кала+N+Sg+DIR(ГА);
килгән	кил+V+PCP_PS(ГАн);кил+V+PST_INDF(ГАн);
.	Type1
Безнең	без+N+Sg+GEN(нЫң);без+PN+GEN(нЫң);
шикелле	шикелле+POST;
кара	кара+Adj;кара+MOD;кара+N+Sg+Nom;кара+V+IMP_SG();
икмәк	икмәк+N+Sg+Nom;
ашап	аша+V+ADVV_ACC(Ып);
үскән	үс+V+PCP_PS(ГАн);үс+V+PST_INDF(ГАн);
кешегә	кеше+N+Sg+DIR(ГА);
кая	кая+PN;
инде	инде+MOD;инде+PART;
ул	ул+N+Sg+Nom;ул+PN;
ак	ак+Adj;ак+V+IMP_SG();
сөякле	сөяк+N+ATTR_MUN(лЫ);
булу	бул+V+VN_1(у/ү/в)+Nom;
?	Type1
Ак	ак+Adj;ак+V+IMP_SG();
кына	кына+PART;
түгел	түгел+PART;
,	Type2
миңа	мин+PN+DIR(ГА);
