Татарчага	татарча+N+Sg+DIR(ГА);
тәрҗемәгә	тәрҗемә+N+Sg+DIR(ГА);
кереш	кер+V+RECP(Ыш)+IMP_SG();кер+V+VN_2(Ыш)+Nom;
сүз	сүз+N+Sg+Nom;
Тылсым	тылсым+N+Sg+Nom;
дөньясына	дөнья+N+Sg+POSS_3(СЫ)+DIR(ГА);
рәхим	рәхим+N+Sg+Nom;
ит	и+V+CAUS(т)+IMP_SG();ит+N+Sg+Nom;ит+V+IMP_SG();
,	Type2
укучы	уку+N+PROF(чЫ)+Sg+Nom;укучы+N+Sg+Nom;укы+V+VN_1(у/ү/в)+PCP_PR(чЫ);укы+V+VN_1(у/ү/в)+PROF(чЫ)+Sg+Nom;
!	Type1
һарри	һарри+N+Sg+Nom;
Поттерның	поттерн+N+Sg+POSS_2SG(Ың)+Nom;поттер+N+Sg+GEN(нЫң);
тылсым	тылсым+N+Sg+Nom;
дөньясы	дөнья+N+Sg+POSS_3(СЫ)+Nom;
хәзер	хәзер+Adv;
татарча	татар+N+EQU(чА);татарча+Adv;
да	да+PART;
сөйләшә	сөйләшә+N+Sg+Nom;
.	Type1
әлбәттә	әлбәттә+MOD;
,	Type2
бу	бу+PN;
тәрҗемә	тәрҗемә+N+Sg+Nom;
рәсми	рәсми+Adj;
түгел	түгел+PART;
,	Type2
әмма	әмма+CNJ;
ул	ул+N+Sg+Nom;ул+PN;
–	Type2
беренче	бер+Num+NUM_ORD(ЫнчЫ);
.	Type1
Анда	анда+PN;ул+PN+LOC(ДА);
хаталар	хата+N+PL(ЛАр)+Nom;
һәм	һәм+CNJ;
кимчелекләр	кимчелек+N+PL(ЛАр)+Nom;
булырга	бул+V+INF_1(ЫргА);
мөмкин	мөмкин+MOD;
.	Type1
Син	син+PN;
аларны	алар+PN+ACC(нЫ);
гафу	гафу+INTRJ;
ит	и+V+CAUS(т)+IMP_SG();ит+N+Sg+Nom;ит+V+IMP_SG();
,	Type2
һәм	һәм+CNJ;
безгә	без+PN+DIR(ГА);
алар	алар+PN;
