…	Type1;
ярар	NR;яр+V+PCP_FUT(Ыр);яра+V+FUT_INDF(Ыр);яра+V+PCP_FUT(Ыр);ярар+MOD;
өч	NR;өч+Num;
сезгә	NR;сез+PN+DIR(ГА);
ярар	NR;яр+V+PCP_FUT(Ыр);яра+V+FUT_INDF(Ыр);яра+V+PCP_FUT(Ыр);ярар+MOD;
миннән	NR;мин+PN+ABL(ДАн);
балалар	NR;бала+N+PL(ЛАр)+Nom;балала+V+FUT_INDF(Ыр);балала+V+PCP_FUT(Ыр);
өч	NR;өч+Num;
миннән	NR;мин+PN+ABL(ДАн);
балалар	NR;бала+N+PL(ЛАр)+Nom;балала+V+FUT_INDF(Ыр);балала+V+PCP_FUT(Ыр);
сәхнә	NR;сәхнә+N+Sg+Nom;
сезгә	NR;сез+PN+DIR(ГА);
өч	NR;өч+Num;
сәхнә	NR;сәхнә+N+Sg+Nom;
сәхнә	NR;сәхнә+N+Sg+Nom;
беләсеңме	NR;бел+V+PRES(Й)+2SG(сЫң)+INT(мЫ);
артык	NR;артык+Adj;
нәрсәне	NR;нәрсә+PN+ACC(нЫ);
эшли	NR;эшлә+V+PRES(Й);
синнән	NR;син+PN+ABL(ДАн);
утырасың	NR;утыр+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;утыр+V+PRES(Й)+2SG(сЫң);
эшли	NR;эшлә+V+PRES(Й);
болай	NR;болай+PN;
миннән	NR;мин+PN+ABL(ДАн);
яшь	NR;яшь+Adj;яшь+N+Sg+Nom;
миннән	NR;мин+PN+ABL(ДАн);
булды	NR;бул+V+PST_DEF(ДЫ);
кечкенә	NR;кечкенә+Adj;
сезгә	NR;сез+PN+DIR(ГА);
булды	NR;бул+V+PST_DEF(ДЫ);
яшь	NR;яшь+Adj;яшь+N+Sg+Nom;
синнән	NR;син+PN+ABL(ДАн);
синнән	NR;син+PN+ABL(ДАн);
дүрт	NR;дүрт+Num;
булды	NR;бул+V+PST_DEF(ДЫ);
булды	NR;бул+V+PST_DEF(ДЫ);
өч	NR;өч+Num;
өч	NR;өч+Num;
өч	NR;өч+Num;
өч	NR;өч+Num;
беләсеңме	NR;бел+V+PRES(Й)+2SG(сЫң)+INT(мЫ);
өч	NR;өч+Num;
артык	NR;артык+Adj;
өч	NR;өч+Num;
татлы	NR;тат+N+ATTR_MUN(лЫ);татлы+Adj;
артык	NR;артык+Adj;
өч	NR;өч+Num;
Сәхнә	NR;сәхнә+N+Sg+Nom;
балалар	NR;бала+N+PL(ЛАр)+Nom;балала+V+FUT_INDF(Ыр);балала+V+PCP_FUT(Ыр);
булды	NR;бул+V+PST_DEF(ДЫ);
нәрсәне	NR;нәрсә+PN+ACC(нЫ);
яшь	NR;яшь+Adj;яшь+N+Sg+Nom;
артык	NR;артык+Adj;
сезгә	NR;сез+PN+DIR(ГА);
сезгә	NR;сез+PN+DIR(ГА);
чынлап	NR;чын+Adj+DISTR(лАп);чынла+V+ADVV_ACC(Ып);
өч	NR;өч+Num;
өч	NR;өч+Num;
кечкенә	NR;кечкенә+Adj;
сезгә	NR;сез+PN+DIR(ГА);
сезгә	NR;сез+PN+DIR(ГА);
сәхнә	NR;сәхнә+N+Sg+Nom;
чынлап	NR;чын+Adj+DISTR(лАп);чынла+V+ADVV_ACC(Ып);
беләсеңме	NR;бел+V+PRES(Й)+2SG(сЫң)+INT(мЫ);
беләсеңме	NR;бел+V+PRES(Й)+2SG(сЫң)+INT(мЫ);
барысы	NR;бары+PN+POSS_3(СЫ)+Nom;
эшли	NR;эшлә+V+PRES(Й);
куркыта	NR;куркыт+V+PRES(Й);
булды	NR;бул+V+PST_DEF(ДЫ);
куркыта	NR;куркыт+V+PRES(Й);
булды	NR;бул+V+PST_DEF(ДЫ);
Сәхнә	NR;сәхнә+N+Sg+Nom;
чынаяклар	NR;чынаяк+N+PL(ЛАр)+Nom;
синнән	NR;син+PN+ABL(ДАн);
аш	NR;аш+N+Sg+Nom;
балалар	NR;бала+N+PL(ЛАр)+Nom;балала+V+FUT_INDF(Ыр);балала+V+PCP_FUT(Ыр);
сәхнә	NR;сәхнә+N+Sg+Nom;
сезгә	NR;сез+PN+DIR(ГА);
аш	NR;аш+N+Sg+Nom;
Аш	NR;аш+N+Sg+Nom;
синнән	NR;син+PN+ABL(ДАн);
өч	NR;өч+Num;
сезгә	NR;сез+PN+DIR(ГА);
өч	NR;өч+Num;
синнән	NR;син+PN+ABL(ДАн);
миннән	NR;мин+PN+ABL(ДАн);
сезгә	NR;сез+PN+DIR(ГА);
болай	NR;болай+PN;
эшем	NR;эш+N+Sg+POSS_1SG(Ым)+Nom;
куркыта	NR;куркыт+V+PRES(Й);
Сәхнә	NR;сәхнә+N+Sg+Nom;
сәхнә	NR;сәхнә+N+Sg+Nom;
сезгә	NR;сез+PN+DIR(ГА);
сезгә	NR;сез+PN+DIR(ГА);
