КУБЫЗ	кубыз+N+Sg+Nom;
КАБЫЗ	кабыз+V+IMP_SG();
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
БАБАЙ	бабай+N+Sg+Nom;
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
Авыл	авыл+N+Sg+Nom;
ишегалды	ишегалды+N+Sg+POSS_3(СЫ)+Nom;
,	Type2
хәзер	хәзер+Adv;
андыйлар	андый+Adj+PL(ЛАр)+Nom;андый+PN+PL(ЛАр)+Nom;
юктыр	юк+MOD+PROB(ДЫр);
.	Type1
Капкасы	капка+N+Sg+POSS_3(СЫ)+Nom;
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
.	Type1
Агач	агач+N+Sg+Nom;
коймасы	койма+N+Sg+POSS_3(СЫ)+Nom;
!	Type1
Чия	чия+N+Sg+Nom;
,	Type2
миләшләр	миләш+N+PL(ЛАр)+Nom;
үсә	үс+V+PRES(Й);
.	Type1
Эскәмиядә	эскәмия+N+Sg+LOC(ДА);
Бабай	бабай+N+Sg+Nom;
утыра	утыр+V+PRES(Й);
.	Type1
Капкага	капка+N+Sg+DIR(ГА);
шакыйлар	шакы+V+PRES(Й)+3PL(ЛАр);
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Кем	кем+PN;
анда	анда+PN;ул+PN+LOC(ДА);
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Исәнмесез	исәнмесез+INTRJ;
,	Type2
Галимҗан	галимҗан+PROP+Sg+Nom;
бабай	бабай+N+Sg+Nom;
сезме	сез+PN+INT(мЫ);
?	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Кем	кем+PN;
анда	анда+PN;ул+PN+LOC(ДА);
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Мин	мин+PN;
әлфия	әлфия+PROP+Sg+Nom;
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Алайса	алайса+MOD;
кер	кер+N+Sg+Nom;кер+V+IMP_SG();
,	Type2
әлфия	әлфия+PROP+Sg+Nom;
.	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
әйе	әйе+MOD;
,	Type2
исәнмесез	исәнмесез+INTRJ;
,	Type2
мин	мин+PN;
әлфия	әлфия+PROP+Sg+Nom;
,	Type2
Казаннан	казан+N+Sg+ABL(ДАн);казан+PROP+ABL(ДАн);
килдем	кил+V+PST_DEF(ДЫ)+1SG(м);
,	Type2
җырлар	җыр+N+PL(ЛАр)+Nom;җырла+V+FUT_INDF(Ыр);җырла+V+PCP_FUT(Ыр);
яздырам	яз+V+CAUS(ДЫр)+PRES(Й)+1SG(м);
,	Type2
проект	проект+N+Sg+Nom;
өчен	өчен+POST;
.	Type1
Күршеләр	күрше+N+PL(ЛАр)+Nom;
әйтте	әйт+V+PST_DEF(ДЫ);
,	Type2
сез	сез+PN;
борыңгы	NR
җырларны	җыр+N+PL(ЛАр)+ACC(нЫ);
беләсез	бел+V+PRES(Й)+2PL(сЫз);
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
(	Type3
уфтанып	уфтан+V+ADVV_ACC(Ып);
)	Type3
.	Type1
әйе	әйе+MOD;
,	Type2
беләм	бел+V+PRES(Й)+1SG(м);
инде	инде+PART;
,	Type2
беләм	бел+V+PRES(Й)+1SG(м);
.	Type1
Яздырасыңмы	яз+V+CAUS(ДЫр)+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom+INT(мЫ);яз+V+CAUS(ДЫр)+PRES(Й)+2SG(сЫң)+INT(мЫ);яздыр+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom+INT(мЫ);яздыр+V+PRES(Й)+2SG(сЫң)+INT(мЫ);
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
әйе	әйе+MOD;
,	Type2
шулай	шулай+PN;
,	Type2
сез…	Error
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Кайда	кай+PN+LOC(ДА);кайда+PN;
магнитофон	магнитофон+N+Sg+Nom;
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Сезне	сез+PN+ACC(нЫ);
инде	инде+PART;
яздырдылармы	яз+V+CAUS(ДЫр)+PST_DEF(ДЫ)+3PL(ЛАр)+INT(мЫ);яздыр+V+PST_DEF(ДЫ)+3PL(ЛАр)+INT(мЫ);
?	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Миллион	миллион+Num;
тапкыр	тапкыр+Adj;тапкыр+N+Sg+Nom;
инде	инде+PART;
.	Type1
