(	Type3
ТУГАН	ту+V+PCP_PS(ГАн);ту+V+PST_INDF(ГАн);туган+Adj;
ИЛ	ил+N+Sg+Nom;
)	Type3
…	Type1
Эшчеләр	эш+N+PROF(чЫ)+PL(ЛАр)+Nom;
нәкъ	нәкъ+PART;
менә	мен+V+PRES(Й);менә+PART;
бүген	бүген+Adv;
,	Type2
,	Type2
беренче	бер+Num+NUM_ORD(ЫнчЫ);
май	май+N+Sg+Nom;
көнендә	көн+N+Sg+POSS_3(СЫ)+LOC(ДА);
,	Type2
табигать	табигать+N+Sg+Nom;
кышкы	кышкы+Adj;
йокысыннан	йокы+N+Sg+POSS_3(СЫ)+ABL(ДАн);
уянган	уян+V+PCP_PS(ГАн);уян+V+PST_INDF(ГАн);
чакта	чак+N+Sg+LOC(ДА);чак+V+CAUS(т)+PRES(Й);чакта+POST;
,	Type2
урманнар	урман+N+PL(ЛАр)+Nom;
һәм	һәм+CNJ;
таулар	тау+N+PL(ЛАр)+Nom;
яшеллек	яшел+Adj+NMLZ(лЫк)+Sg+Nom;яшел+Adj+PSBL(лЫк);яшел+PROP+NMLZ(лЫк)+Sg+Nom;яшел+PROP+PSBL(лЫк);
белән	белән+POST;
капланган	капла+V+REFL(Ын)+PCP_PS(ГАн);капла+V+REFL(Ын)+PST_INDF(ГАн);каплан+V+PCP_PS(ГАн);каплан+V+PST_INDF(ГАн);
,	Type2
кырлар	кыр+N+PL(ЛАр)+Nom;кырла+V+FUT_INDF(Ыр);кырла+V+PCP_FUT(Ыр);
һәм	һәм+CNJ;
болыннар	болын+N+PL(ЛАр)+Nom;
чәчәкләр	чәчәк+N+PL(ЛАр)+Nom;
белән	белән+POST;
бизәлгән	бизә+V+PASS(Ыл)+PCP_PS(ГАн);бизә+V+PASS(Ыл)+PST_INDF(ГАн);бизәл+V+PCP_PS(ГАн);бизәл+V+PST_INDF(ГАн);
вакытта	вакыт+N+Sg+LOC(ДА);
,	Type2
кояш	кояш+N+Sg+Nom;
ныграк	нык+Adj+COMP(рАк)+Sg+Nom;
җылыта	җылыт+V+PRES(Й);
башлаган	башла+V+PCP_PS(ГАн);башла+V+PST_INDF(ГАн);
,	Type2
һавада	һава+N+Sg+LOC(ДА);
яңадан	яңа+Adj+Sg+ABL(ДАн);
җанлану	җанла+V+REFL(Ын)+VN_1(у/ү/в)+Nom;җанлан+V+VN_1(у/ү/в)+Nom;
шатлыгы	шат+Adj+NMLZ(лЫк)+Sg+POSS_3(СЫ)+Nom;шат+Adj+PSBL(лЫк)+POSS_3(СЫ)+Nom;
сизелгән	сиз+V+PASS(Ыл)+PCP_PS(ГАн);сиз+V+PASS(Ыл)+PST_INDF(ГАн);сизел+V+PCP_PS(ГАн);сизел+V+PST_INDF(ГАн);
,	Type2
ә	ә+PART;
табигать	табигать+N+Sg+Nom;
биергә	бие+V+INF_1(ЫргА);
керешкән	кер+V+RECP(Ыш)+PCP_PS(ГАн);кер+V+RECP(Ыш)+PST_INDF(ГАн);
һәм	һәм+CNJ;
зур	зур+Adj;
шатлыкка	шат+Adj+NMLZ(лЫк)+Sg+DIR(ГА);шат+Adj+PSBL(лЫк)+DIR(ГА);
чумган	чум+V+PCP_PS(ГАн);чум+V+PST_INDF(ГАн);
вакытта	вакыт+N+Sg+LOC(ДА);
—	Type2
алар	алар+PN;
нәкъ	нәкъ+PART;
менә	мен+V+PRES(Й);менә+PART;
бүген	бүген+Adv;
,	Type2
кычкырып	кычкыр+V+ADVV_ACC(Ып);
һәм	һәм+CNJ;
ачыктан	ачык+Adj+Sg+ABL(ДАн);
Error	ачык;
ачык+Adj;	,;
Type2	эшчеләр;
эш+N+PROF(чЫ)+PL(ЛАр)+Nom;	кешелек;
кеше+N+NMLZ(лЫк)+Sg+Nom;кеше+N+PSBL(лЫк);кешелек+N+Sg+Nom;	дөньясына;
дөнья+N+Sg+POSS_3(СЫ)+DIR(ГА);	яз;
яз+N+Sg+Nom;яз+V+IMP_SG();	һәм;
һәм+CNJ;	капитализм;
капитализм+N+Sg+Nom;	богауларыннан;
богау+N+PL(ЛАр)+POSS_3(СЫ)+ABL(ДАн);	азатлык;
азат+N+NMLZ(лЫк)+Sg+Nom;азат+N+PSBL(лЫк);	алып;
ал+V+ADVV_ACC(Ып);алып+N+Sg+Nom;	киләләр;
кил+V+PRES(Й)+3PL(ЛАр);	дип;
ди+V+ADVV_ACC(Ып);	,;
Type2	ирек;
ирек+N+Sg+Nom;	һәм;
һәм+CNJ;	социализм;
социализм+N+Sg+Nom;	нигезендә;
нигез+N+Sg+POSS_3(СЫ)+LOC(ДА);	эшчеләр;
эш+N+PROF(чЫ)+PL(ЛАр)+Nom;	дөньяны;
яңартырга	яңар+V+CAUS(т)+INF_1(ЫргА);яңарт+V+INF_1(ЫргА);
тиешләр	ти+V+VN_2(Ыш)+PL(ЛАр)+Nom;
,	Type2
дип	ди+V+ADVV_ACC(Ып);
бөтен	бөтен+PN;
дөньяга	дөнья+N+Sg+DIR(ГА);
,	Type2
әйтеп	әйт+V+ADVV_ACC(Ып);
бирергә	бир+V+INF_1(ЫргА);
карар	кара+V+FUT_INDF(Ыр);кара+V+PCP_FUT(Ыр);карар+N+Sg+Nom;
иттеләр	и+V+CAUS(т)+PST_DEF(ДЫ)+3PL(ЛАр);ит+V+CAUS(т)+PASS(Ыл)+PCP_FUT(Ыр);ит+V+PST_DEF(ДЫ)+3PL(ЛАр);
.	Type1
I	Letter;
әхтәм	әхтәм+PROP+Sg+Nom;
морзаның	морза+N+Sg+GEN(нЫң);
атасы	ат+V+OBL(ЙсЫ);ата+N+Sg+POSS_3(СЫ)+Nom;
Галкәй	NR
хуҗа	хуҗа+N+Sg+Nom;
Тигәнәле	тигәнә+N+ATTR_MUN(лЫ);
кешеләрен	кеше+N+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);
үзенең	үзе+PN+GEN(нЫң);
Оренбург	оренбург+PROP+Sg+Nom;
имениесенә	NR
күчереп	күчер+V+ADVV_ACC(Ып);
,	Type2
аннан	аннан+PN;ул+PN+ABL(ДАн);
Мәкәрҗәдәге	мәкәрҗә+N+Sg+ATTR_LOC(ДАгЫ);
кияве	кияү+N+Sg+POSS_3(СЫ)+Nom;
Салихҗан	NR
купең	купе+N+Sg+POSS_2SG(Ың)+Nom;
Вәлишингә	NR
тапшырып	тапшыр+V+ADVV_ACC(Ып);
,	Type2
һичбер	һичбер+PN;
игелек	игелек+N+Sg+Nom;
күрмәгәч	күр+V+NEG(мА)+ADVV_ANT(ГАч);
,	Type2
тагын	тагын+Adv;
төп	төп+Adj;төп+N+Sg+Nom;
ояга	оя+N+Sg+DIR(ГА);
кайтарган	кайтар+V+PCP_PS(ГАн);кайтар+V+PST_INDF(ГАн);
иде	и+V+PST_DEF(ДЫ);
.	Type1
Бик	бик+Adv;
күпләр	күп+Adj+PL(ЛАр)+Nom;күпләр+N+Sg+Nom;
шул	шул+PART;шул+PN;
күченүдән	күч+V+REFL(Ын)+VN_1(у/ү/в)+ABL(ДАн);күчен+V+VN_1(у/ү/в)+ABL(ДАн);
таралып	тара+V+PASS(Ыл)+ADVV_ACC(Ып);тарал+V+ADVV_ACC(Ып);
беттеләр	бет+V+CAUS(т)+PASS(Ыл)+PCP_FUT(Ыр);бет+V+PST_DEF(ДЫ)+3PL(ЛАр);
.	Type1
Илдә	ил+N+Sg+LOC(ДА);
йөргән	йөр+V+PCP_PS(ГАн);йөр+V+PST_INDF(ГАн);
хәбәрләр	хәбәр+N+PL(ЛАр)+Nom;хәбәрлә+V+FUT_INDF(Ыр);хәбәрлә+V+PCP_FUT(Ыр);
буенча	буенча+POST;
:	Type2
аларның	алар+PN+GEN(нЫң);
