(	Type3
ТУГАН	ту+V+PCP_PS(ГАн);ту+V+PST_INDF(ГАн);туган+Adj;	ту[V]: родиться, рождаться | туган[Adj]: родной
ИЛ	ил+N+Sg+Nom;	ил[N]: страна
)	Type3
…	Type1
Эшчеләр	эш+N+PROF(чЫ)+PL(ЛАр)+Nom;	эш[N]: дело
нәкъ	нәкъ+PART;
менә	мен+V+PRES(Й);менә+PART;	мен[V]: подниматься, подняться
бүген	бүген+Adv;	бүген[Adv]: сегодня, сегодняшний
,	Type2
,	Type2
беренче	бер+Num+NUM_ORD(ЫнчЫ);	бер[Num]: один, первый
май	май+N+Sg+Nom;	май[N]: май, масло
көнендә	көн+N+Sg+POSS_3(СЫ)+LOC(ДА);	көн[N]: день
,	Type2
табигать	табигать+N+Sg+Nom;	табигать[N]: природа
кышкы	кышкы+Adj;
йокысыннан	йокы+N+Sg+POSS_3(СЫ)+ABL(ДАн);	йокы[N]: сон
уянган	уян+V+PCP_PS(ГАн);уян+V+PST_INDF(ГАн);	уян[V]: проснуться
чакта	чак+N+Sg+LOC(ДА);чак+V+CAUS(т)+PRES(Й);чакта+POST;	чак[N]: время
,	Type2
урманнар	урман+N+PL(ЛАр)+Nom;	урман[N]: лес, лесной
һәм	һәм+CNJ;	һәм[CNJ]: и
таулар	тау+N+PL(ЛАр)+Nom;	тау[N]: гора, горный
яшеллек	яшел+Adj+NMLZ(лЫк)+Sg+Nom;яшел+Adj+PSBL(лЫк);яшел+PROP+NMLZ(лЫк)+Sg+Nom;яшел+PROP+PSBL(лЫк);	яшел[Adj]: зелёный
белән	белән+POST;	белән[POST]: на, с
капланган	капла+V+REFL(Ын)+PCP_PS(ГАн);капла+V+REFL(Ын)+PST_INDF(ГАн);каплан+V+PCP_PS(ГАн);каплан+V+PST_INDF(ГАн);	капла[V]: закрывать
,	Type2
кырлар	кыр+N+PL(ЛАр)+Nom;кырла+V+FUT_INDF(Ыр);кырла+V+PCP_FUT(Ыр);	кыр[N]: поле
һәм	һәм+CNJ;	һәм[CNJ]: и
болыннар	болын+N+PL(ЛАр)+Nom;	болын[N]: луг
чәчәкләр	чәчәк+N+PL(ЛАр)+Nom;	чәчәк[N]: цветок
белән	белән+POST;	белән[POST]: на, с
бизәлгән	бизә+V+PASS(Ыл)+PCP_PS(ГАн);бизә+V+PASS(Ыл)+PST_INDF(ГАн);бизәл+V+PCP_PS(ГАн);бизәл+V+PST_INDF(ГАн);
вакытта	вакыт+N+Sg+LOC(ДА);	вакыт[N]: время, пора
,	Type2
кояш	кояш+N+Sg+Nom;	кояш[N]: солнце
ныграк	нык+Adj+COMP(рАк)+Sg+Nom;	нык[Adj]: крепкий, крепко
җылыта	җылыт+V+PRES(Й);
башлаган	башла+V+PCP_PS(ГАн);башла+V+PST_INDF(ГАн);	башла[V]: начать, начинать, начаться, начинаться
,	Type2
һавада	һава+N+Sg+LOC(ДА);	һава[N]: воздухь¹, погода, воздушный
яңадан	яңа+Adj+Sg+ABL(ДАн);	яңа[Adj]: новый
җанлану	җанла+V+REFL(Ын)+VN_1(у/ү/в)+Nom;җанлан+V+VN_1(у/ү/в)+Nom;
шатлыгы	шат+Adj+NMLZ(лЫк)+Sg+POSS_3(СЫ)+Nom;шат+Adj+PSBL(лЫк)+POSS_3(СЫ)+Nom;	шат[Adj]: радостный, счастливый
сизелгән	сиз+V+PASS(Ыл)+PCP_PS(ГАн);сиз+V+PASS(Ыл)+PST_INDF(ГАн);сизел+V+PCP_PS(ГАн);сизел+V+PST_INDF(ГАн);	сиз[V]: чуять
,	Type2
ә	ә+PART;
табигать	табигать+N+Sg+Nom;	табигать[N]: природа
биергә	бие+V+INF_1(ЫргА);	бие[V]: плясать
керешкән	кер+V+RECP(Ыш)+PCP_PS(ГАн);кер+V+RECP(Ыш)+PST_INDF(ГАн);	кер[V]: войти, входить
һәм	һәм+CNJ;	һәм[CNJ]: и
зур	зур+Adj;	зур[Adj]: большой
шатлыкка	шат+Adj+NMLZ(лЫк)+Sg+DIR(ГА);шат+Adj+PSBL(лЫк)+DIR(ГА);	шат[Adj]: радостный, счастливый
чумган	чум+V+PCP_PS(ГАн);чум+V+PST_INDF(ГАн);
вакытта	вакыт+N+Sg+LOC(ДА);	вакыт[N]: время, пора
—	Type2
алар	алар+PN;	алар[PN]: они
нәкъ	нәкъ+PART;
менә	мен+V+PRES(Й);менә+PART;	мен[V]: подниматься, подняться
бүген	бүген+Adv;	бүген[Adv]: сегодня, сегодняшний
,	Type2
кычкырып	кычкыр+V+ADVV_ACC(Ып);	кычкыр[V]: крикнуть, кричать
һәм	һәм+CNJ;	һәм[CNJ]: и
ачыктан	ачык+Adj+Sg+ABL(ДАн);	ачык[Adj]: открыто
Error	ачык;	ачык: открыто
ачык+Adj;	,;	,: ,
Type2	эшчеләр;
эш+N+PROF(чЫ)+PL(ЛАр)+Nom;	кешелек;	кешелек: человечество
кеше+N+NMLZ(лЫк)+Sg+Nom;кеше+N+PSBL(лЫк);кешелек+N+Sg+Nom;	дөньясына;
дөнья+N+Sg+POSS_3(СЫ)+DIR(ГА);	яз;	яз: написать, писать, весна
яз+N+Sg+Nom;яз+V+IMP_SG();	һәм;	һәм: и
һәм+CNJ;	капитализм;
капитализм+N+Sg+Nom;	богауларыннан;
богау+N+PL(ЛАр)+POSS_3(СЫ)+ABL(ДАн);	азатлык;	азатлык: свобода
азат+N+NMLZ(лЫк)+Sg+Nom;азат+N+PSBL(лЫк);	алып;
ал+V+ADVV_ACC(Ып);алып+N+Sg+Nom;	киләләр;
кил+V+PRES(Й)+3PL(ЛАр);	дип;
ди+V+ADVV_ACC(Ып);	,;	,: ,
Type2	ирек;	ирек: воля
ирек+N+Sg+Nom;	һәм;	һәм: и
һәм+CNJ;	социализм;
социализм+N+Sg+Nom;	нигезендә;
нигез+N+Sg+POSS_3(СЫ)+LOC(ДА);	эшчеләр;
эш+N+PROF(чЫ)+PL(ЛАр)+Nom;	дөньяны;
яңартырга	яңар+V+CAUS(т)+INF_1(ЫргА);яңарт+V+INF_1(ЫргА);	яңарт[V]: обновить
тиешләр	ти+V+VN_2(Ыш)+PL(ЛАр)+Nom;
,	Type2
дип	ди+V+ADVV_ACC(Ып);	ди[V]: говорить, сказать
бөтен	бөтен+PN;
дөньяга	дөнья+N+Sg+DIR(ГА);	дөнья[N]: мир¹
,	Type2
әйтеп	әйт+V+ADVV_ACC(Ып);	әйт[V]: говорить, сказать
бирергә	бир+V+INF_1(ЫргА);	бир[V]: давать, дать, даваться
карар	кара+V+FUT_INDF(Ыр);кара+V+PCP_FUT(Ыр);карар+N+Sg+Nom;	кара[V]: посмотреть, смотреть | карар[N]: постановление
иттеләр	и+V+CAUS(т)+PST_DEF(ДЫ)+3PL(ЛАр);ит+V+CAUS(т)+PASS(Ыл)+PCP_FUT(Ыр);ит+V+PST_DEF(ДЫ)+3PL(ЛАр);	ит[V]: делать, сделать
.	Type1
I	Letter;
әхтәм	әхтәм+PROP+Sg+Nom;
морзаның	морза+N+Sg+GEN(нЫң);
атасы	ат+V+OBL(ЙсЫ);ата+N+Sg+POSS_3(СЫ)+Nom;	ат[V]: стрелять | ата[N]: отец, отчий
Галкәй	галкәй+N+Sg+Nom;
хуҗа	хуҗа+N+Sg+Nom;	хуҗа[N]: хозяин
Тигәнәле	тигәнә+N+ATTR_MUN(лЫ);
кешеләрен	кеше+N+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);	кеше[N]: человек
үзенең	үзе+PN+GEN(нЫң);
Оренбург	оренбург+PROP+Sg+Nom;
имениесенә	имениесенә+N+Sg+Nom;
күчереп	күчер+V+ADVV_ACC(Ып);	күчер[V]: перевести, переводить
,	Type2
аннан	аннан+PN;ул+PN+ABL(ДАн);	ул[PN]: он, она, оно, они, его, их
Мәкәрҗәдәге	мәкәрҗә+N+Sg+ATTR_LOC(ДАгЫ);
